fact_id,entity_id,category,content,importance,verified,source_url
tour_05_engineering_entrance:role,tour_05_engineering_entrance,identity,전북대학교 공과대학 권역으로 들어가는 주요 지점이다.,100,true,
tour_05_engineering_entrance:location,tour_05_engineering_entrance,location,공과대학 1호관 앞에 위치한다.,85,true,
tour_05_engineering_entrance:building-cluster,tour_05_engineering_entrance,navigation,주변에 여러 공과대학 건물이 밀집해 있다.,80,true,
tour_05_engineering_entrance:wayfinding,tour_05_engineering_entrance,navigation,공과대학 건물을 찾아갈 때 기준점으로 활용하기 좋은 위치다.,75,true,
tour_05_engineering_entrance:aircraft-location,tour_05_engineering_entrance,landmark,인근에 비행기 전시물이 있다.,85,true,
tour_05_engineering_entrance:aircraft-history,tour_05_engineering_entrance,history,전시된 비행기는 실제 한국전쟁에서 사용된 전투기다.,90,true,
tour_05_engineering_entrance:aircraft-donation,tour_05_engineering_entrance,history,대한민국 공군으로부터 기증받아 전시하고 있다.,80,true,
tour_05_engineering_entrance:aircraft-authenticity,tour_05_engineering_entrance,story,단순한 모형이나 조형물이 아니라 실제 사용되었던 항공기다.,85,true,
tour_05_engineering_entrance:landmark,tour_05_engineering_entrance,landmark,비행기 전시물은 공과대학 권역의 대표적인 랜드마크다.,70,true,
tour_05_engineering_entrance:park,tour_05_engineering_entrance,facility,주변에 공대 공원과 휴식 공간이 있다.,55,true,
tour_06_central_library:role,tour_06_central_library,identity,전북대학교의 대표적인 학습 및 자료 이용 공간이다.,100,true,
tour_06_central_library:remodeling,tour_06_central_library,history,2026년 2월 리모델링 이후 1층 열람실 시설이 개선되었다.,90,true,
tour_06_central_library:first-floor-tip,tour_06_central_library,recommendation,쾌적한 환경에서 공부하고 싶다면 1층 열람실을 이용하기 좋다.,70,false,
tour_06_central_library:exam-crowding,tour_06_central_library,usage,시험기간에는 1층 이용자가 많아 혼잡할 수 있다.,80,false,
tour_06_central_library:outlet-tip,tour_06_central_library,recommendation,시험기간에 콘센트 좌석이 필요하다면 1층보다 2층이나 3층 열람실을 고려할 수 있다.,75,false,
tour_06_central_library:terrace,tour_06_central_library,experience,날씨가 좋은 날에는 야외 테라스에서 공부하는 학생들도 많다.,55,false,
tour_06_central_library:picnic-event,tour_06_central_library,event,4월에 돗자리 대여 행사가 진행되어 잔디밭에서 피크닉을 즐길 수 있다.,50,false,
tour_07_geonji_plaza:role,tour_07_geonji_plaza,identity,전북대학교 캠퍼스 중심부에 위치한 대표적인 광장이다.,100,true,
tour_07_geonji_plaza:wayfinding,tour_07_geonji_plaza,navigation,여러 주요 건물과 이동 동선이 연결되어 캠퍼스 이동의 기준점 역할을 한다.,90,true,
tour_07_geonji_plaza:rest,tour_07_geonji_plaza,usage,넓은 광장과 주변 녹지 공간이 있어 학생들의 만남과 휴식 장소로 자주 활용된다.,80,true,
tour_07_geonji_plaza:library-route,tour_07_geonji_plaza,scenery,중앙도서관에서 건지광장으로 이동하는 길 주변에 넓은 잔디밭과 녹지 공간이 조성되어 있다.,65,true,
tour_07_geonji_plaza:cherry-blossoms,tour_07_geonji_plaza,seasonal,봄철 벚꽃이 피는 시기에는 중앙도서관 주변 길과 잔디밭이 산책하거나 사진을 찍기 좋은 장소가 된다.,60,false,
tour_08_stadium_swing:role,tour_08_stadium_swing,identity,전북대학교의 대표적인 대규모 야외 행사 및 체육 공간이다.,100,true,
tour_08_stadium_swing:events,tour_08_stadium_swing,event,대동제와 동아리 홍보행사 및 공과대학 체전 등 교내 주요 대형 행사가 열린다.,90,true,
tour_08_stadium_swing:event-programs,tour_08_stadium_swing,event,행사 기간에는 공연과 부스 등 다양한 프로그램이 운영되어 많은 학생들이 모인다.,75,true,
tour_08_stadium_swing:exercise,tour_08_stadium_swing,usage,평소에는 운동과 러닝을 위한 공간으로 활발하게 이용된다.,85,true,
tour_08_stadium_swing:evening-running,tour_08_stadium_swing,experience,특히 저녁에는 트랙을 따라 러닝하거나 운동하는 학생들을 많이 볼 수 있다.,65,false,
tour_08_stadium_swing:free-use,tour_08_stadium_swing,recommendation,큰 행사가 없는 날에는 비교적 자유롭게 운동하거나 산책하기 좋다.,55,false,
docent_stadium_swing:popularity,docent_stadium_swing,recommendation,설치된 흔들그네가 많지 않아 자리가 금방 차는 인기 시설이다.,85,false,
docent_old_gate_busking_zone:meeting,docent_old_gate_busking_zone,usage,구정문 주변에서 일행을 만나기 위한 광장 역할을 한다.,90,false,
docent_old_gate_busking_zone:busking,docent_old_gate_busking_zone,experience,저녁 시간대에는 버스킹 공연이 자주 열리는 편이다.,85,false,
docent_old_gate_busking_zone:evening-meetup,docent_old_gate_busking_zone,recommendation,저녁 모임 전에 일행을 기다리는 약속 장소로 이용하기 좋다.,80,false,
tour_09_basketball_court:history,tour_09_basketball_court,history,과거에는 소운동장으로 사용되던 공간이다.,80,true,
tour_09_basketball_court:remodeling,tour_09_basketball_court,history,리모델링을 거쳐 현재는 정비된 농구장 및 체육 공간으로 활용된다.,90,true,
tour_09_basketball_court:free-use,tour_09_basketball_court,usage,학생들이 자유롭게 이용할 수 있어 공을 준비하면 친구들과 농구를 즐길 수 있다.,100,true,
tour_09_basketball_court:popular-time,tour_09_basketball_court,experience,수업이 없는 시간이나 날씨가 좋은 날에는 농구와 운동을 즐기는 학생들을 자주 볼 수 있다.,60,false,
tour_09_basketball_court:comparison,tour_09_basketball_court,recommendation,대운동장이 대규모 행사와 러닝 중심이라면 이곳은 친구들과 부담 없이 운동을 즐기기 좋은 공간이다.,70,false,
tour_10_museum:role,tour_10_museum,identity,전북대학교의 역사·문화·학술 자료를 전시하는 대표적인 문화공간이다.,100,true,
tour_10_museum:study-space,tour_10_museum,facility,박물관 2층 복도에 공부할 수 있는 공간이 있다.,70,true,
tour_10_museum:exhibits,tour_10_museum,exhibition,다양한 유물과 전시를 통해 전북 지역의 역사와 문화를 살펴볼 수 있다.,90,true,
tour_10_museum:public-access,tour_10_museum,usage,학생뿐 아니라 일반 시민과 외부 방문객도 관람할 수 있다.,85,true,
tour_10_museum:green-space,tour_10_museum,scenery,주변에 정자와 녹지 공간이 있어 산책하거나 쉬어가기 좋다.,65,true,
tour_10_museum:pond,tour_10_museum,experience,주변 정자와 연못은 산책과 휴식을 즐기기 좋고 봄에는 오리 가족을 종종 볼 수 있다.,55,false,
tour_11_student_town:role,tour_11_student_town,identity,학생들을 위한 생활 및 편의시설이 한곳에 모여 있는 공간이다.,100,true,
tour_11_student_town:facilities,tour_11_student_town,facility,편의점과 카페뿐 아니라 서점·미용실·우체국·안경점도 이용할 수 있다.,90,true,
tour_11_student_town:integration,tour_11_student_town,history,기존에는 학생타운 1과 2로 나뉘어 있었지만 최근 공사를 통해 하나의 학생타운으로 통합되었다.,80,true,
tour_11_student_town:ai-interview,tour_11_student_town,facility,AI 모의면접실이 마련되어 있어 취업 준비에 활용할 수 있다.,85,true,
tour_11_student_town:gift-shop,tour_11_student_town,facility,전북대학교 기념품샵에서 학교 굿즈나 방문객을 위한 선물을 구매할 수 있다.,80,true,
tour_12_old_gate:meeting-place,tour_12_old_gate,identity,전북대생들이 대표적인 만남의 장소이자 약속 지점으로 이용하는 곳이다.,100,true,
tour_12_old_gate:student-expression,tour_12_old_gate,culture,학생들이 약속을 잡을 때 ‘구정문에서 만나’라고 할 만큼 자주 이용된다.,85,false,
tour_12_old_gate:commercial-area,tour_12_old_gate,location,구정문을 나서면 음식점과 카페 및 술집 등이 밀집한 전북대 대표 상권이 이어진다.,90,true,
tour_12_old_gate:college-street,tour_12_old_gate,culture,전북대의 대학로 역할을 하며 특히 저녁 시간에 학생들이 많이 찾는다.,80,false,
docent_art_college_3_workshop:hidden-place,docent_art_college_3_workshop,identity,아는 사람만 아는 캠퍼스의 숨은 장소 중 하나다.,90,false,
docent_art_college_3_workshop:graduate-workspace,docent_art_college_3_workshop,usage,예술대학 대학원생들의 작업 공간으로 알려져 있다.,100,false,
docent_art_college_3_workshop:student-artworks,docent_art_college_3_workshop,exhibition,건물 앞에 학생들이 직접 제작한 것으로 보이는 조형 작품들이 전시되어 있다.,85,false,
docent_art_college_3_workshop:kpop,docent_art_college_3_workshop,culture,오후부터 밤 사이 작업할 때 K-POP 노래가 자주 흘러나오는 것으로 알려져 있다.,65,false,
docent_art_college_3_workshop:nostalgic-songs,docent_art_college_3_workshop,experience,추억의 노래 선곡이 좋기로 소소하게 알려져 있다.,55,false,
docent_art_college_3_workshop:listening-tip,docent_art_college_3_workshop,recommendation,근처를 지날 때 어떤 노래가 나오는지 귀 기울여 보는 것도 좋다.,50,false,
